"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM06C01","Residential Property Price Index","200508","2005 August","-","National - all residential properties","Base Jan 2005 = 100","107.1"
"HPM06C01","Residential Property Price Index","200508","2005 August","01","National - houses","Base Jan 2005 = 100","107.8"
"HPM06C01","Residential Property Price Index","200508","2005 August","02","National - apartments","Base Jan 2005 = 100","101.5"
"HPM06C01","Residential Property Price Index","200508","2005 August","05","Dublin - all residential properties","Base Jan 2005 = 100","107.8"
"HPM06C01","Residential Property Price Index","200508","2005 August","06","Dublin - houses","Base Jan 2005 = 100","108.9"
"HPM06C01","Residential Property Price Index","200508","2005 August","07","Dublin - apartments","Base Jan 2005 = 100","104.6"
"HPM06C01","Residential Property Price Index","200508","2005 August","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","106.7"
"HPM06C01","Residential Property Price Index","200508","2005 August","04","National excluding Dublin - houses","Base Jan 2005 = 100","107.3"
"HPM06C01","Residential Property Price Index","200508","2005 August","12","National excluding Dublin - apartments","Base Jan 2005 = 100","96.7"
"HPM06C01","Residential Property Price Index","200508","2005 August","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200508","2005 August","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","-","National - all residential properties","Base Jan 2005 = 100","108.2"
"HPM06C01","Residential Property Price Index","200509","2005 September","01","National - houses","Base Jan 2005 = 100","108.8"
"HPM06C01","Residential Property Price Index","200509","2005 September","02","National - apartments","Base Jan 2005 = 100","103.1"
"HPM06C01","Residential Property Price Index","200509","2005 September","05","Dublin - all residential properties","Base Jan 2005 = 100","109.7"
"HPM06C01","Residential Property Price Index","200509","2005 September","06","Dublin - houses","Base Jan 2005 = 100","110.5"
"HPM06C01","Residential Property Price Index","200509","2005 September","07","Dublin - apartments","Base Jan 2005 = 100","106.8"
"HPM06C01","Residential Property Price Index","200509","2005 September","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","107.4"
"HPM06C01","Residential Property Price Index","200509","2005 September","04","National excluding Dublin - houses","Base Jan 2005 = 100","108"
"HPM06C01","Residential Property Price Index","200509","2005 September","12","National excluding Dublin - apartments","Base Jan 2005 = 100","98.5"
"HPM06C01","Residential Property Price Index","200509","2005 September","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","14","Midland - houses","Base Jan 2005 = 100",""
